n,m,encode_time,decode_time,count_flips
0,0.0,0.0001437664031982422,7.128715515136718e-06,0
200,124.0,0.009672808647155761,0.00033206939697265624,197
400,249.0,0.02718818187713623,0.0006855487823486328,381
600,374.0,0.05862405300140381,0.0012511014938354492,659
800,499.0,0.09555294513702392,0.0017897129058837891,799
1000,624.0,0.19707012176513672,0.0029732465744018556,1199
1200,749.0,0.1860938549041748,0.0030017375946044924,1288
1400,874.0,0.2746222972869873,0.003834056854248047,1707
1600,999.0,0.3225050449371338,0.004541277885437012,1757
1800,1124.0,0.4645375728607178,0.0059654474258422855,2260
2000,1249.0,0.5489161968231201,0.007063388824462891,2285
2200,1374.0,0.6920791625976562,0.008060526847839356,2758
2400,1499.0,0.7476940393447876,0.009294366836547852,2801
2600,1624.0,0.9497937440872193,0.010633707046508789,3374
2800,1749.0,1.0166670083999634,0.012356996536254883,3328
3000,1874.0,1.2771646499633789,0.014307904243469238,3958
3200,1999.0,1.292763066291809,0.014638137817382813,3793
3400,2124.0,1.6321364879608153,0.01974022388458252,4507
3600,2249.0,1.6776641368865968,0.02075619697570801,4373
3800,2374.0,2.0803887605667115,0.02324035167694092,5207
4000,2499.0,2.164850044250488,0.0255295991897583,5094
4200,2624.0,2.461224150657654,0.02801518440246582,5542
4400,2749.0,2.5608535766601563,0.030197787284851074,5514
4600,2874.0,2.9694498777389526,0.03454890251159668,6174
4800,2999.0,2.9782641410827635,0.035235595703125,5937
5000,3124.0,3.5010661840438844,0.040224456787109376,6731
5200,3249.0,3.6464478254318236,0.043707776069641116,6672
5400,3374.0,4.059120488166809,0.0476879358291626,7227
5600,3499.0,4.14723687171936,0.05158998966217041,7085
5800,3624.0,4.881671071052551,0.05838174819946289,8072
6000,3749.0,5.0116595983505245,0.06291968822479248,7820
6200,3874.0,5.687986230850219,0.07095739841461182,8595
6400,3999.0,5.701996660232544,0.07378802299499512,8388
6600,4124.0,6.674878644943237,0.0837625503540039,9519
6800,4249.0,6.3750303983688354,0.08519964218139649,8842
7000,4374.0,7.421300315856934,0.09473528861999511,9986
7200,4499.0,7.32857072353363,0.09792551994323731,9600
7400,4624.0,8.222725367546081,0.10397813320159913,10415
7600,4749.0,8.193444061279298,0.11052603721618652,10157
7800,4874.0,8.995293712615966,0.12313518524169922,10865
8000,4999.0,9.181623029708863,0.11982688903808594,10837
8200,5124.0,11.66045081615448,0.14266579151153563,11361
8400,5249.0,10.836109519004822,0.1381021499633789,11544
8600,5374.0,11.904093170166016,0.15085101127624512,12035
8800,5499.0,11.88322901725769,0.1589048385620117,11935
9000,5624.0,13.10692389011383,0.16198906898498536,12948
9200,5749.0,13.740563941001891,0.17524139881134032,12845
9400,5874.0,14.290545654296874,0.17894365787506103,13582
9600,5999.0,14.22944016456604,0.1830533742904663,13374
9800,6124.0,15.725441193580627,0.19910645484924316,13894
