n,m,encode_time,decode_time,count_flips
0,0,0.0002655029296875,2.93731689453125e-05,0
200,200,0.022234368324279784,0.0006765365600585937,218
400,400,0.08250243663787842,0.0013186931610107422,418
600,600,0.14131393432617187,0.002293682098388672,634
800,800,0.19545481204986573,0.0026500940322875975,831
1000,1000,0.18384923934936523,0.0025173187255859374,1008
1200,1200,0.2552376985549927,0.004838085174560547,1092
1400,1400,0.4056349992752075,0.006214761734008789,1319
1600,1600,0.40965962409973145,0.006581306457519531,1438
1800,1800,0.5312371492385864,0.008167839050292969,1494
2000,2000,0.6769012689590455,0.010399174690246583,1558
2200,2200,0.7421207189559936,0.010976767539978028,1700
2400,2400,0.8600082159042358,0.012392783164978027,1788
2600,2600,0.882287573814392,0.0128204345703125,1808
2800,2800,0.952304196357727,0.013928961753845216,1970
3000,3000,0.9327654600143432,0.015011072158813477,1825
3200,3200,1.0027016878128052,0.016389131546020508,1830
3400,3400,1.275062084197998,0.01812567710876465,1937
3600,3600,1.3377282857894897,0.02364504337310791,1887
3800,3800,1.2051392316818237,0.02119917869567871,1821
4000,4000,1.30735182762146,0.02324061393737793,1866
4200,4200,1.39824697971344,0.024617099761962892,1849
4400,4400,1.3906763315200805,0.02594919204711914,1796
4600,4600,1.5012804746627808,0.02716987133026123,1831
4800,4800,1.460709238052368,0.027955102920532226,1681
5000,5000,1.4691944122314453,0.029616260528564455,1620
5200,5200,1.6010955572128296,0.032319283485412596,1679
5400,5400,1.621714997291565,0.0329204797744751,1617
5600,5600,1.6631661176681518,0.034782934188842776,1585
5800,5800,1.7124796628952026,0.03665945529937744,1560
6000,6000,1.6141353368759155,0.037653136253356936,1394
6200,6200,1.7599321126937866,0.0396629810333252,1470
6400,6400,1.752310872077942,0.04055047035217285,1385
6600,6600,1.7186044931411744,0.04078071117401123,1281
6800,6800,1.8057469606399537,0.043544554710388185,1296
7000,7000,1.7962275266647338,0.04433178901672363,1232
7200,7200,1.7898077011108398,0.046060371398925784,1162
7400,7400,1.8942201137542725,0.047651481628417966,1205
7600,7600,1.923347544670105,0.05073249340057373,1159
7800,7800,2.008346915245056,0.053480124473571776,1126
8000,8000,2.1711769580841063,0.05533957481384277,1081
8200,8200,2.035461258888245,0.05736546516418457,1013
8400,8400,2.0508145809173586,0.05653183460235596,996
8600,8600,1.9823042631149292,0.05498323440551758,913
8800,8800,2.1477166175842286,0.06355562210083007,894
9000,9000,2.106562113761902,0.06149601936340332,902
9200,9200,2.080597686767578,0.06069104671478272,845
9400,9400,2.3228591680526733,0.06994998455047607,825
9600,9600,2.230677008628845,0.06520893573760986,804
9800,9800,2.127300524711609,0.0658121109008789,757
