n,m,encode_time,decode_time,count_flips
0,0,0.00013532638549804688,7.486343383789062e-06,0
200,200,0.01330416202545166,0.00037255287170410154,242
400,400,0.055172967910766604,0.0010738372802734375,529
600,600,0.104972243309021,0.0019427061080932618,812
800,800,0.20387544631958007,0.0028849124908447267,1071
1000,1000,0.31560351848602297,0.0037843942642211913,1434
1200,1200,0.5070170164108276,0.009324073791503906,1743
1400,1400,0.659924840927124,0.007102012634277344,2169
1600,1600,0.7581906080245971,0.008976292610168458,2340
1800,1800,0.8816660165786743,0.00961894989013672,2696
2000,2000,1.011383628845215,0.010463690757751465,3043
2200,2200,1.3541490077972411,0.01615188121795654,3382
2400,2400,1.5329773902893067,0.015524888038635254,3740
2600,2600,1.9220918655395507,0.01824972629547119,4123
2800,2800,2.199876308441162,0.02406156063079834,4412
3000,3000,2.730488657951355,0.02657608985900879,4917
3200,3200,2.9291555166244505,0.029757928848266602,5084
3400,3400,3.433825206756592,0.033510375022888186,5465
3600,3600,3.646454095840454,0.0371013879776001,5862
3800,3800,3.9994659662246703,0.041530060768127444,6202
4000,4000,4.6402891159057615,0.049535822868347165,6622
4200,4200,5.146119904518128,0.053978562355041504,6897
4400,4400,5.367142009735107,0.05986700057983398,7354
4600,4600,5.85477499961853,0.06810686588287354,7525
4800,4800,6.214221000671387,0.070914888381958,7897
5000,5000,7.296717691421509,0.09188859462738037,8331
5200,5200,7.756429648399353,0.08945059776306152,8721
5400,5400,8.670932292938232,0.09652142524719239,9074
5600,5600,9.349744749069213,0.10813164710998535,9373
5800,5800,10.494083094596864,0.11483297348022461,9774
6000,6000,10.672195959091187,0.128334641456604,9996
6200,6200,10.859408593177795,0.12472929954528808,10288
6400,6400,10.939652156829833,0.13110909461975098,10715
6600,6600,12.201276755332946,0.14459261894226075,11329
6800,6800,12.86274869441986,0.15246279239654542,11495
7000,7000,13.674418306350708,0.1563847303390503,11847
7200,7200,14.225326538085938,0.18039979934692382,12293
7400,7400,15.143738102912902,0.17813005447387695,12645
7600,7600,16.693680095672608,0.19194703102111815,12964
7800,7800,16.910428476333617,0.19430460929870605,13364
8000,8000,20.69541277885437,0.23980042934417725,13975
8200,8200,21.494545769691467,0.28160414695739744,14078
8400,8400,20.21664776802063,0.2411107063293457,14441
8600,8600,21.62815628051758,0.2504376649856567,15178
8800,8800,22.52385287284851,0.27041378021240237,15244
9000,9000,23.348322319984437,0.26880066394805907,15970
9200,9200,27.437633395195007,0.2903242588043213,16521
9400,9400,27.46384906768799,0.3155251741409302,16562
9600,9600,24.948216128349305,0.30023176670074464,16693
9800,9800,26.26267066001892,0.3204667568206787,17295
